quote,philosopher,source
"The infinite wipes out its traces not in order to trick him who obeys, but because it transcends the present in which it commands me, and because I cannot deduce it from this command.",levinas,Otherwise Than Being — Emmanuel Levinas
"The infinite who orders me is neither a cause acting straight on, nor a theme, already dominated, if only retrospectively, by freedom.",levinas,Otherwise Than Being — Emmanuel Levinas
"This detour at a face and this detour from this detour in the enigma of a trace we have called illeity."" Illeity lies outside the ""thou"" and the thematization of objects.",levinas,Otherwise Than Being — Emmanuel Levinas
"A neologism formed with // (he) or ille, it indicates a way of concerning me without entering into conjunction with me.",levinas,Otherwise Than Being — Emmanuel Levinas
"To be sure, we have to indicate the 13 element in which this concerning occurs.",levinas,Otherwise Than Being — Emmanuel Levinas
The illeity in the beyond-being is the fact that its coming toward me is a departure which lets me accomplish a movement toward a neighbor.,levinas,Otherwise Than Being — Emmanuel Levinas
"The positive element of this departure, that which makes this departure, this diachrony, be more than a term of negative theology, is my responsibility for the others.",levinas,Otherwise Than Being — Emmanuel Levinas
"Or, one may say, it is the fact that the others show themselves in their face.",levinas,Otherwise Than Being — Emmanuel Levinas
"There is a paradox in responsibility, in that I am obliged without this obligation having begun in me, as though an order slipped into my consciousness like a thief, smuggled itself in, like an effect of one of Plato's wandering causes.",levinas,Otherwise Than Being — Emmanuel Levinas
"But this is impossible in a consciousness, and clearly indicates that we are no longer in the element of consciousness.",levinas,Otherwise Than Being — Emmanuel Levinas
"In consciousness this ""who knows where"" is translated into an anachronical overwhelming, the antecedence of responsibility and obedience with respect to the order received or the contract.",levinas,Otherwise Than Being — Emmanuel Levinas
"Or as though it were formulated before every possible present, in a past that shows itself in the present of obedience without being recalled, without coming from memory, being formulated by him who obeys in his very obedience.",levinas,Otherwise Than Being — Emmanuel Levinas
"But this is still perhaps a quite narrative, epic, way of speaking.",levinas,Otherwise Than Being — Emmanuel Levinas
"Am I the interlocutor of an infinity lacking in straightforwardness, giving its commands indirectly in the very face to which it ordains me?",levinas,Otherwise Than Being — Emmanuel Levinas
"Illeity, which does not simply designate an oblique presentation to a squinting look, may indeed first signify such a disposition of personages.",levinas,Otherwise Than Being — Emmanuel Levinas
"The infinite does not signal itself to a subjectivity, a unity already formed, by its order to turn toward the neighbor.",levinas,Otherwise Than Being — Emmanuel Levinas
In its being subjectivity undoes essence by substituting itself for another.,levinas,Otherwise Than Being — Emmanuel Levinas
"Qua one-for-another, it is absorbed in signification, in saying or the verb form of the infinite.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is not a stage of cognition calling for the intuition that would fulfill it, nor the absurdity of nonidentity or of impossible identity.",levinas,Otherwise Than Being — Emmanuel Levinas
"Not a reference from one term to another, as it appears thematized in the said, but substitution as the very subjectivity of a subject, interruption of the irreversible identity of the essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"It occurs in the taking charge of, which is incumbent on me without any escape possible.",levinas,Otherwise Than Being — Emmanuel Levinas
"Here the unicity of the ego first acquires a meaning - where it is no longer a question of the ego, but of me.",levinas,Otherwise Than Being — Emmanuel Levinas
"The subject which is not an ego, but which I am, cannot be generalized, is not a subject in",levinas,Otherwise Than Being — Emmanuel Levinas
"14 general; we have moved from the ego to me who am me and no one else.12 Here the identity of the subject comes from the impossibility of escaping responsibility, from the taking charge of the other.",levinas,Otherwise Than Being — Emmanuel Levinas
"Signification, saying - my expressivity, my own signifyingness qua sign, my own verbal-ity qua verb - cannot be understood as a modality of being; the disinterestedness suspends essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"As a substitution of one for another, as me, a man, 1 am not a transubstantiation, a changing from one substance into another, I do not shut myself up in another identity, I do not rest in a new avatar.",levinas,Otherwise Than Being — Emmanuel Levinas
"As signification, proximity, saying, separation, 1 do not fuse with anything.",levinas,Otherwise Than Being — Emmanuel Levinas
Have we to give a name to this relationship of signification grasped as subjectivity?,levinas,Otherwise Than Being — Emmanuel Levinas
"Must we pronounce the word expiation, and conceive the subjectivity of the subject, the otherwise than being, as an expiation?",levinas,Otherwise Than Being — Emmanuel Levinas
That would perhaps be bold and premature.,levinas,Otherwise Than Being — Emmanuel Levinas
"At least we can ask if subjectivity qua signification, qua one-for-another, is not traceable back to the vulnerability of the ego, to the incommunicable, non-conceptualizable, sensibility. 7.",levinas,Otherwise Than Being — Emmanuel Levinas
"SENSIBILITY Man is not to be conceived in function of being and not-being, taken as ultimate references.",levinas,Otherwise Than Being — Emmanuel Levinas
"Signification, prior to being, breaks up the assembling, the recollection or the present of essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"On the hither side of or beyond essence, signification is the breathlessness of the spirit expiring without inspiring, disinterestedness and gratuity or gratitude; the breakup of essence is ethics.",levinas,Otherwise Than Being — Emmanuel Levinas
"This breakup of identity, this changing of being into signification, that is, into substitution, is the subject's subjectivity, or its subjection to everything, its susceptibility, its vulnerability, that is, its sensibility.",levinas,Otherwise Than Being — Emmanuel Levinas
"Subjectivity, locus and null-site of this breakup, comes to pass as a passivity more passive than all passivity.",levinas,Otherwise Than Being — Emmanuel Levinas
"And this, pushed to the limit, is sensibility, sensibility as the subjectivity of the subject.",levinas,Otherwise Than Being — Emmanuel Levinas
"This exposure is the frankness, sincerity, veracity of saying.",levinas,Otherwise Than Being — Emmanuel Levinas
"Substitution, at the limit of being, ends up in saying, in the giving of signs, giving a sign of this giving of signs, expressing oneself.",levinas,Otherwise Than Being — Emmanuel Levinas
"This expression is antecedent to all thematization in the said, but it is not a babbling or still primitive or childish form of saying.",levinas,Otherwise Than Being — Emmanuel Levinas
"This stripping beyond nudity, beyond forms, is not the work of negation and no longer belongs to the order of being.",levinas,Otherwise Than Being — Emmanuel Levinas
For the Good can not enter into a present nor be put into a representation.,levinas,Otherwise Than Being — Emmanuel Levinas
"But being Good it redeems the violence of its alterity, even if the subject has to suffer through the augmentation of this ever more demanding violence. 8.",levinas,Otherwise Than Being — Emmanuel Levinas
"Everywhere proximity is conceived ontologically, that is, as a limit or complement to the accomplishment of the adventure of essence, which consists in persisting in essence and unfolding immanence, in remaining in an ego, in identity.",levinas,Otherwise Than Being — Emmanuel Levinas
The present study sets out to not conceive proximity in function of being.,levinas,Otherwise Than Being — Emmanuel Levinas
"The otherwise than being which, to be sure, is understood in a being, differs absolutely from essence, has no genus in common with essence, and is said only in the breathlessness that pronounces the extra-ordinary word beyond.",levinas,Otherwise Than Being — Emmanuel Levinas
Alterity figures in it outside any qualification of the other for the ontological order and outside any attribute.,levinas,Otherwise Than Being — Emmanuel Levinas
"It figures as what is near in a proximity that counts as sociality, which ""excites"" by its pure and simple proximity.",levinas,Otherwise Than Being — Emmanuel Levinas
"The way of thinking proposed here does not fail to recognize being or treat it, ridiculously and pretentiously, with disdain, as the fall from a higher order or disorder.",levinas,Otherwise Than Being — Emmanuel Levinas
"On the contrary, it is on the basis of proximity that being takes on its just meaning.",levinas,Otherwise Than Being — Emmanuel Levinas
"In the indirect ways of iileity, in the anarchical provocation which ordains me to the other, is imposed the way which leads to thematization, and to an act of consciousness.",levinas,Otherwise Than Being — Emmanuel Levinas
A third party is also approached; and the relationship between the neighbor and the third party cannot be indifferent to me when I approach.,levinas,Otherwise Than Being — Emmanuel Levinas
There must be a justice among incomparable ones.,levinas,Otherwise Than Being — Emmanuel Levinas
"There must then be a comparison between incomparables and a synopsis, a togetherness and contemporaneousness; there must be thematization, thought, history and inscription.",levinas,Otherwise Than Being — Emmanuel Levinas
But being must be understood on the basis of being's other.,levinas,Otherwise Than Being — Emmanuel Levinas
"To be on the ground of the signification of an approach is to be with another for or against a third party, with the other and the third party against oneself, in justice.",levinas,Otherwise Than Being — Emmanuel Levinas
"This way of thinking is against a philosophy which does not see beyond being, and reduces, by an abuse of language, saying to the said and all sense to interest.",levinas,Otherwise Than Being — Emmanuel Levinas
"Reason, to which the virtue of arresting violence is ascribed, issuing in the order of peace, presupposes disinterestedness, passivity or patience.",levinas,Otherwise Than Being — Emmanuel Levinas
"In this disinterestedness, when, as a responsibility for the other, it is also a responsibility for the third party, the justice that compares, assembles and conceives, the synchrony of being and peace, take form. 17 9.",levinas,Otherwise Than Being — Emmanuel Levinas
"SUBJECTIVITY IS NOT AMODALITY OF ESSENCE The problem of transcendence and of God and the problem of subjectivity irreducible to essence, irreducible to essential immanence, go together.",levinas,Otherwise Than Being — Emmanuel Levinas
But is subjectivity thus conceived in what is irreducibly its own?,levinas,Otherwise Than Being — Emmanuel Levinas
Hegel and Heidegger try to empty the distinction between the subject and being of its meaning.,levinas,Otherwise Than Being — Emmanuel Levinas
"It is in the midst of the Absolute that the beyond takes on meaning; essence, understood as the immanence of a knowing, is taken to account for subjectivity, which is reduced to a moment of the concept, of thought or of absolute essence.",levinas,Otherwise Than Being — Emmanuel Levinas
Every overcoming as well as every revaluing of Being in the subject would still be a case of Being's essence.,levinas,Otherwise Than Being — Emmanuel Levinas
"Nor even in terms of entities, which one would suspect modulate being, and thus heal the break marked by the hypostasis.",levinas,Otherwise Than Being — Emmanuel Levinas
The subject already resists this ontologization when it is conceived as a saying.,levinas,Otherwise Than Being — Emmanuel Levinas
"Behind every statement of being as being, the saying overflows the very being it thematizes in stating it to the other.",levinas,Otherwise Than Being — Emmanuel Levinas
"Irreducible to being's essence is the substitution in responsibility, signification or the one-for-another, or the defecting of the ego beyond every defeat, going countercurrent to a conatus, or goodness.",levinas,Otherwise Than Being — Emmanuel Levinas
"In it the other is imposed quite differently from the reality of the real: he imposes himself because he is other, because this alterity is incumbent on me with a whole charge of indigence and weakness.",levinas,Otherwise Than Being — Emmanuel Levinas
"Can substitution and goodness in turn be interpreted as a ""movement"" or a modality of being's essence?",levinas,Otherwise Than Being — Emmanuel Levinas
Would it yet move in the light of being?,levinas,Otherwise Than Being — Emmanuel Levinas
But is the sight of a face in the light of being?,levinas,Otherwise Than Being — Emmanuel Levinas
Is not sight here immediately a taking charge?,levinas,Otherwise Than Being — Emmanuel Levinas
"The intention toward another, when it has reached its peak, turns out to belie inten-tionality.",levinas,Otherwise Than Being — Emmanuel Levinas
"Toward another culminates in a for another, a suffering for his suffering, without light, that is, without measure, quite different from the purely negative blinding of Fortune which only seems to close her eyes so as to give her richess arbitrarily.",levinas,Otherwise Than Being — Emmanuel Levinas
"Arising at the apex of essence, goodness is other than being.",levinas,Otherwise Than Being — Emmanuel Levinas
"It no longer keeps accounts; it is not like negativity, which conserves what it negates, in its history.",levinas,Otherwise Than Being — Emmanuel Levinas
"It destroys without leaving souvenirs, without transporting into museums the altars raised to the idols of the past for blood sacrifices, it burns the sacred groves in which the echoes of the past reverberate.",levinas,Otherwise Than Being — Emmanuel Levinas
"The exceptional, extra-ordinary, transcendent character of goodness is due to just this break with being and history.",levinas,Otherwise Than Being — Emmanuel Levinas
"To reduce the good to being, to its calculations and its history, is to nullify goodness.",levinas,Otherwise Than Being — Emmanuel Levinas
"The ever possible sliding between subjectivity and being, of which subjectivity would be but a mode, the equivalence of the two languages, stops here.",levinas,Otherwise Than Being — Emmanuel Levinas
Goodness gives to subjectivity its irreducible signification.,levinas,Otherwise Than Being — Emmanuel Levinas
"The human subject — me — called on the brink of tears and laughter to responsibility, is not an avatar of nature or a moment of the concept, or an articulation of ""being's presence to us,"" or parousia.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is not a question of assuring the ontological dignity of man, as though essence sufficed for dignity, but of contesting the philosophical privilege of being, of inquiring after what is beyond or on its hither side.",levinas,Otherwise Than Being — Emmanuel Levinas
"19 souls"" and preferring ""the effort of concepts"" to the facilities of psychological naturalism, humanist rhetoric and existentialist pathetics, to forget what is better than being, that is, the Good.",levinas,Otherwise Than Being — Emmanuel Levinas
"The beyond being, being's other or the otherwise than being, here situated in diachrony, here expressed as infinity, has been recognized as the Good by Plato.",levinas,Otherwise Than Being — Emmanuel Levinas
It matters little that Plato made of it an idea and a light source.,levinas,Otherwise Than Being — Emmanuel Levinas
"This diachrony is itself an enigma: the beyond being does and does not revert to ontology; the statement, the beyond, the infinite, becomes and does not become a meaning of being. 10.",levinas,Otherwise Than Being — Emmanuel Levinas
THE ITINERARY The different concepts that come up in the attempt to state transcendence echo one another.,levinas,Otherwise Than Being — Emmanuel Levinas
Perhaps the clarity of the exposition does not suffer here only from the clumsiness of the expounder.,levinas,Otherwise Than Being — Emmanuel Levinas
"The exposition is worked out between the present argument, which introduces it, and the final chapter, which, as conclusion, elucidates it in a different way.",levinas,Otherwise Than Being — Emmanuel Levinas
"It will do so by linking to the alternating fate of skepticism in philosophical thought - refuted and coming back 20 again - the alternatings or diachrony, resisting assemblage, of the otherwise than being or transcendence, and its exposition.",levinas,Otherwise Than Being — Emmanuel Levinas
Is the itinerary whose stages we have just indicated sufficiently reliable?,levinas,Otherwise Than Being — Emmanuel Levinas
Will the reproach not be made that this movement is not sufficiently warned of the dangers on the way and has not provided itself with means to ward them off?,levinas,Otherwise Than Being — Emmanuel Levinas
"No doubt it is not completely disengaged from pre-philosophical experiences, and many of its byways will appear well-worn, many of its thrusts imprudent.",levinas,Otherwise Than Being — Emmanuel Levinas
But a fine risk is always something to be taken in philosophy.,levinas,Otherwise Than Being — Emmanuel Levinas
Should we not think with as much precaution of the possibility of a conclusion or a closure of the philosophical discourse?,levinas,Otherwise Than Being — Emmanuel Levinas
Is not its interruption its only possible end?,levinas,Otherwise Than Being — Emmanuel Levinas
"More modestly, Husserl will have taught us that every movement of thought involves a part of naivety, which, in the Hegelian enterprise, lies at least in its pretention to include the Real.",levinas,Otherwise Than Being — Emmanuel Levinas
"Philosophy thus arouses a drama between philosophers and an inter-subjective movement which does not resemble the dialogue of teamworkers in science, nor even the Platonic dialogue which is the reminiscence of a drama rather than the drama itself.",levinas,Otherwise Than Being — Emmanuel Levinas
"QUESTIONING AND ALLEGIANCE TO THE OTHER A philosopher seeks, and expresses, truth.",levinas,Otherwise Than Being — Emmanuel Levinas
"Truth, before characterizing a statement or a judgment, consists in the exhibition of being.",levinas,Otherwise Than Being — Emmanuel Levinas
"But what shows itself, in truth, under the name of being?",levinas,Otherwise Than Being — Emmanuel Levinas
"Does the word being designate an entity, ideal or real, that is, or this entity's process of being, its essence!1 And does this word designate!",levinas,Otherwise Than Being — Emmanuel Levinas
"For if it only designates, then, even taken as a verb, it is a noun.",levinas,Otherwise Than Being — Emmanuel Levinas
"And the process captured by the designation, even if it is a movement, shows itself, but is immobilized and fixed in the said.",levinas,Otherwise Than Being — Emmanuel Levinas
"Does the mystery of being and entities, their difference, disturb us already?",levinas,Otherwise Than Being — Emmanuel Levinas
"The distinction and the amphibology of being and entities will turn out from the start to be important and to be determinant for truth, but this distinction is also an amphibology and does not signify the ultimate.",levinas,Otherwise Than Being — Emmanuel Levinas
"If this difference shows itself in the said, in words (which are not epiphenomenal), if it belongs to monstration as such, it belongs on the same plane as being, whose hide-and-seek game is indeed essential.",levinas,Otherwise Than Being — Emmanuel Levinas
"But if monstration is a modality of signification, we would have to go back from the said to the saying.",levinas,Otherwise Than Being — Emmanuel Levinas
"The said and the non-said do not absorb all the saying, which remains on this side of, or goes beyond, the said.",levinas,Otherwise Than Being — Emmanuel Levinas
But let us for the moment stay with what is implied in the general meaning of truth.,levinas,Otherwise Than Being — Emmanuel Levinas
"The question ""what shows itself?"" is put by him who looks, even before he thematically distinguishes the difference between being and entities.",levinas,Otherwise Than Being — Emmanuel Levinas
"The question enunciates a ""what?' ""what is it?"" ""what is it that it is?"" Concerning what is it wants to know what it is.",levinas,Otherwise Than Being — Emmanuel Levinas
"The ""what?"" is already wholly enveloped with being, has eyes only for being, and already sinks into being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Concerning the being of what is, it wants to know what it is.",levinas,Otherwise Than Being — Emmanuel Levinas
"The question - even ""what is being?"" - then questions with respect to being, with respect to what is precisely in question.",levinas,Otherwise Than Being — Emmanuel Levinas
"The answer required is from the start in terms of being, whether one understands by it entity or being of entities, entity or being's essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"The question ""what?"" is thus correlative",levinas,Otherwise Than Being — Emmanuel Levinas
"24 of what it wishes to discover, and already has recourse to it.",levinas,Otherwise Than Being — Emmanuel Levinas
"Its quest occurs entirely within being, in the midst of what it is seeking.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is ontology, and at the same time has a part in the effectuation of the very being it seeks to understand.",levinas,Otherwise Than Being — Emmanuel Levinas
Being would be not only what is most problematical; it would be what is most intelligible.,levinas,Otherwise Than Being — Emmanuel Levinas
"And yet, this intelligibility is questionable.",levinas,Otherwise Than Being — Emmanuel Levinas
That intelligibility would become questionable is something surprising.,levinas,Otherwise Than Being — Emmanuel Levinas
"Here is a problem preliminary to the questions ""who?"" and ""what?""2 Why is there a question in exhibition?",levinas,Otherwise Than Being — Emmanuel Levinas
"One could immediately answer that there is a question because there is an inquiry, and because the appearing of being is also the possibility of its appearance, and appearance dissimulates being in its very disclosure.",levinas,Otherwise Than Being — Emmanuel Levinas
The search for truth has to draw being out of appearance.,levinas,Otherwise Than Being — Emmanuel Levinas
"Consequently truth is a progression, and is exposed in several moments, remaining problematical in each.",levinas,Otherwise Than Being — Emmanuel Levinas
Yet the question about the question is more radical still.,levinas,Otherwise Than Being — Emmanuel Levinas
Why does research take form as a question?,levinas,Otherwise Than Being — Emmanuel Levinas
"How is it that the ""what?"", already steeped in being so as to open it up the more, becomes a demand and a prayer, a special language inserting into the ""communication"" of the given an appeal for help, for aid addressed to another?",levinas,Otherwise Than Being — Emmanuel Levinas
"The problem is not aroused, like a bad quarrel, by a capricious or curios or industrious subject approaching being, which would be non-problematical in itself.",levinas,Otherwise Than Being — Emmanuel Levinas
But it is not necessary to take literally the metaphor of the interpellation of the subject by being which manifests itself.,levinas,Otherwise Than Being — Emmanuel Levinas
"The manifestation of being, the appearing, is indeed the primary event, but the very primacy of the primary is in the presence of the present.",levinas,Otherwise Than Being — Emmanuel Levinas
"In the diachrony which turned up under our pen above, with regard to the progressiveness of manifestation, one can suspect there is the interval that separates the same from the other, an interval that is reflected in manifestation.",levinas,Otherwise Than Being — Emmanuel Levinas
"For manifestation, which one might have thought to be by right a fulgurating instant of openness and intuition, is discontinuous, and lasts from a question to the response.",levinas,Otherwise Than Being — Emmanuel Levinas
"But 25 this leads us to surprise the Who that is looking, the identical subject, allegedly placed in the openness of Being, as the crux of a diachronic plot (which remains to be determined) between the same and the other.",levinas,Otherwise Than Being — Emmanuel Levinas
"The silent coming and going from question to response, with which Plato characterized thought, already refers to a plot in which is tied up the node of subjectivity, by the other commanding the same.",levinas,Otherwise Than Being — Emmanuel Levinas
"The reference is there even when, turned toward being in its manifestation, thought knows itself.",levinas,Otherwise Than Being — Emmanuel Levinas
Asking oneself and questioning oneself does not undo the torsion of the same and the other in subjectivity; it refers to it.,levinas,Otherwise Than Being — Emmanuel Levinas
There is an intrigue of the other in the same which does not amount to an openness of the other to the same.,levinas,Otherwise Than Being — Emmanuel Levinas
"Here is where the quis-nity of the ""what"" excepts itself from the onto-logical quiddity of the ""what"" sought which orients the research.",levinas,Otherwise Than Being — Emmanuel Levinas
The same has to do with the other before the other appears in any way to a consciousness.,levinas,Otherwise Than Being — Emmanuel Levinas
"Subjectivity is structured as the other in the same, but in a way different from that of consciousness.",levinas,Otherwise Than Being — Emmanuel Levinas
"Consciousness is always correlative with a theme, a present represented, a theme put before me, a being which is a phenomenon.",levinas,Otherwise Than Being — Emmanuel Levinas
"Subjectivity is the other in the same, in a way that also differs from that of the presence of interlocutors to one another in a dialogue, in which they are at peace and in agreement with one another.",levinas,Otherwise Than Being — Emmanuel Levinas
The other in the same determinative of subjectivity is the restlessness of the same disturbed by the other.,levinas,Otherwise Than Being — Emmanuel Levinas
"This is not the correlation characteristic of intentionality, nor even that of dialogue, which attests to essence by its essential reciprocity.",levinas,Otherwise Than Being — Emmanuel Levinas
"The folding back of being upon itself, and the self formed by this fold, where the effect of being remains correlative with being, also does not go to the crux of subjectivity.",levinas,Otherwise Than Being — Emmanuel Levinas
"This allegiance will be described as a responsibility of the same for the other, as a response to his 26 proximity before any question.",levinas,Otherwise Than Being — Emmanuel Levinas
"In this responsibility the latent birth of consciousness itself as a perception or listening in to being, can be surprised, and dialogue based on questioning.",levinas,Otherwise Than Being — Emmanuel Levinas
"Being then would not be the construction of a cognitive subject, contrary to what idealism claims.",levinas,Otherwise Than Being — Emmanuel Levinas
"The subject opening to the thought and truth of being', as it incontestably does, opens upon a way quite different from that which lets the subject be seen as an ontology or an understanding of being.",levinas,Otherwise Than Being — Emmanuel Levinas
This not coming from cognition has a quite different meaning than ontology supposes.,levinas,Otherwise Than Being — Emmanuel Levinas
"Being and cognition together signify in the proximity of the other and in a certain modality of my responsibility for the other, this response preceding any question, this saying before the said.",levinas,Otherwise Than Being — Emmanuel Levinas
"Being signifies on the basis of the one-for-the-other, of substitution of the same for the other.",levinas,Otherwise Than Being — Emmanuel Levinas
"Both being and the vision of being refer to a subject that has risen earlier than being and cognition, earlier than and on this side of them, in an immemorial time which a reminiscene could not recuperate as an a priori.",levinas,Otherwise Than Being — Emmanuel Levinas
"The ""birth"" of being in the questioning where the cognitive subject stands would thus refer to a before the questioning, to the anarchy of responsibility, as it were on this side of all birth.",levinas,Otherwise Than Being — Emmanuel Levinas
"We will try, with the notion of the saying without the said, to expose such a modality of the subjective, an otherwise than being.",levinas,Otherwise Than Being — Emmanuel Levinas
"We will have to answer for the liberties that we are thus taking with the eventual as though there were no risks, forgetting the first pages and the warnings of the Introduction to the Phenomenology of Mind.",levinas,Otherwise Than Being — Emmanuel Levinas
"At least the first indications of these eventualities permit us to announce the orientation of this chapter, which does not begin by running up against the finitude of the subject devoted to the relativity of a forever unfinished science.",levinas,Otherwise Than Being — Emmanuel Levinas
"Then one will have to stay with the design of this ontology, even if in certain of its implications inflexions of forgotten voices resound.",levinas,Otherwise Than Being — Emmanuel Levinas
"To ontology, the exposition of being in its amphibology of being and entitles, belong time and 27 language, inasmuch as language, assembling the dispersion of duration into nouns and propositions, lets being and entities be heard.",levinas,Otherwise Than Being — Emmanuel Levinas
"We have shown that the question ""What shows itself in truth?"" questions the being that exhibits itself in terms of this being.",levinas,Otherwise Than Being — Emmanuel Levinas
"The question ""who is looking?"" is also ontological.",levinas,Otherwise Than Being — Emmanuel Levinas
"Such a ""who?"" amounts to a ""what?"", to ""what about him?"" It goes back to that, or gets lost in it.",levinas,Otherwise Than Being — Emmanuel Levinas
"The difference between ""who?"" and ""what?"" which is reflected in vocabulary and grammar would be only eidetic or essential, motivated by the nature or mode of being of the entity that is problematical.",levinas,Otherwise Than Being — Emmanuel Levinas
"And the logical supremacy of the ""what?"" in the said abolishes this difference.",levinas,Otherwise Than Being — Emmanuel Levinas
"In the ""who is this whoT it asks ""what about this whoT to which the look turned on being is given.",levinas,Otherwise Than Being — Emmanuel Levinas
"This privilege means that, in all cases, in asking ourselves, with regard to truth: ""who is looking at being manifesting itself in truth?"", the welcoming of the manifestation of being could not take place outside of the being that manifests itself.",levinas,Otherwise Than Being — Emmanuel Levinas
"The response to the question ""who is looking?"" then could in its turn signify only the exposition of essence: the subject of the look will be a thinking being, in a strict correlation with its object, belonging to the subject-object unity.",levinas,Otherwise Than Being — Emmanuel Levinas
"Moreover, how, if one starts with the notion of the truth, could one place the welcoming of the manifestation of being outside of the being that manifests itself?",levinas,Otherwise Than Being — Emmanuel Levinas
"Can he that looks place himself outside of the Absolute, and the look withdraw from the event of being, by hollowing out the fold of inwardness, in which knowledge is deposited, accumu28 lates and is formulated?",levinas,Otherwise Than Being — Emmanuel Levinas
"But then things would happen outside of being, and there would still be being there, which seems to be contradictory in its terms.",levinas,Otherwise Than Being — Emmanuel Levinas
"We are not yet in a position to see clearly in this semblance, still less to reduce it, even if we suspect that there is in the position in which the folding back of being upon itself, or subjectivity, is produced something else than this reflection.",levinas,Otherwise Than Being — Emmanuel Levinas
"It is then necessary that the one to whom being shows itself still belongs to being, and that looking amounts to being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Is the ""who"" - the spectator, the subjectivity, the soul - exhausted in this process of interiori-zation?",levinas,Otherwise Than Being — Emmanuel Levinas
"Or is interiorization all there is in the negativity of ""not showing oneself?"" That is in fact our problem: what does ""who?"" mean?",levinas,Otherwise Than Being — Emmanuel Levinas
"But if the inwardness were an absolute exception, the being discovered in truth would be truncated of its inwardness; it would be in truth partly dissimulated, apparent and non-true.",levinas,Otherwise Than Being — Emmanuel Levinas
"Truth can consist only in the exposition of being to itself, in self-consciousness.",levinas,Otherwise Than Being — Emmanuel Levinas
"The upsurge of a subjectivity, a soul, a ""who,"" remains correlative with being, that is, simultaneous and one with it.",levinas,Otherwise Than Being — Emmanuel Levinas
The mutation of the exhibition into knowledge has to be interpretable as a certain inflexion of this exhibition.,levinas,Otherwise Than Being — Emmanuel Levinas
"The soul would live only for the disclosure of being which arouses it or provokes it; it would be a moment of the life of the Spirit, that is, of Being-totality, leaving nothing outside of itself, the same finding again the same.",levinas,Otherwise Than Being — Emmanuel Levinas
But the manifestation of being to itself would imply a separation in being.,levinas,Otherwise Than Being — Emmanuel Levinas
"The getting out of phase of the instant, the ""all"" pulling off from the ""all"" - the temporality of time - makes possible, however, a recuperation in which nothing is lost.",levinas,Otherwise Than Being — Emmanuel Levinas
"There is a disclosing of being; disengaged from its identity, from itself (what we are here calling a getting out of phase) and rediscoveries of truth; between what shows itself and the aim it fulfills, there is monstration.",levinas,Otherwise Than Being — Emmanuel Levinas
There is the same as this aim and the same as discov-,levinas,Otherwise Than Being — Emmanuel Levinas
"29 ered, only discovered and amounting to the same— truth.",levinas,Otherwise Than Being — Emmanuel Levinas
"Time is needed, the remission of the immobile eternity, of the immanence of the whole in the whole, in order that there be established the new tension, unique in its kind, through which intentionality or thought is awakened in being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Truth is rediscovery, recall, reminiscence, reuniting under the unity of apperception.",levinas,Otherwise Than Being — Emmanuel Levinas
"There is remission of time and tension of the recapture, relaxation and tension without a break, without a gap.",levinas,Otherwise Than Being — Emmanuel Levinas
"Time is reminiscence and reminiscence is time, the unity of consciousness and essence.",levinas,Otherwise Than Being — Emmanuel Levinas
"But in the totality of being temporally getting out of phase, which alone could be sufficient for truth, would the totality, diverging from itself, go ""beyond totality""?",levinas,Otherwise Than Being — Emmanuel Levinas
Yet totality should not leave anything outside.3 Then the transcendence of the totality thematized in truth is produced as a division of the totality into parts.,levinas,Otherwise Than Being — Emmanuel Levinas
"How can these parts still be equivalent to the whole, as is implied when exposition is truth?",levinas,Otherwise Than Being — Emmanuel Levinas
The whole reflected in a part is an image.,levinas,Otherwise Than Being — Emmanuel Levinas
Truth then would be produced in the images of being.,levinas,Otherwise Than Being — Emmanuel Levinas
"Beyond essence, signification, an excluded middle between being and non-being, signifies.",levinas,Otherwise Than Being — Emmanuel Levinas
"But if exposition implies a partition of the totality of being, exposition cannot be completed without being put out.",levinas,Otherwise Than Being — Emmanuel Levinas
"Philosophy is disclosure of being, and being's essence is truth and philosophy.",levinas,Otherwise Than Being — Emmanuel Levinas
"Being's essence is the temporalization of time, the diastasis of the identical and its recapture or reminiscence, the unity of apperception.",levinas,Otherwise Than Being — Emmanuel Levinas
"Being's essence designates nothing that could be a nameable content, a thing, event or action; it names this mobility of the immobile, this multiplication of the identical, this diastasis of the punctual, this lapse.",levinas,Otherwise Than Being — Emmanuel Levinas
"The work of being, essence, time, the lapse of time, is exposition, truth, philosophy.",levinas,Otherwise Than Being — Emmanuel Levinas
"In it forms are illuminated where knowledge is awakened; in it being leaves the night, or, at least, quits sleep, that night of night, for an unextinguish-able insomnia of consciousness.",levinas,Otherwise Than Being — Emmanuel Levinas
"Temporality, in the divergence of the identical from itself, is essence and original light, that which Plato distinguished from the visibility of the visible and the clairvoyance of the eye.",levinas,Otherwise Than Being — Emmanuel Levinas
